from_bus,to_bus,r,x,b,rateA,rateB,rateC,tap,shift,status,angmin,angmax
55,56,0.00830,0.03772,0.00758,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
56,69,0.00352,0.00996,0.10204,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
57,71,0.00208,0.01308,0.01975,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
57,71,0.00208,0.01308,0.01975,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
57,76,0.00880,0.05340,0.07600,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
58,59,0.00380,0.00840,0.02190,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
58,69,0.00460,0.01700,0.00330,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
59,82,0.00050,0.00230,0.03250,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
61,71,0.00041,0.00262,0.00460,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
62,71,0.00041,0.00262,0.00460,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
64,71,0.00041,0.00262,0.00460,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
66,71,0.00041,0.00262,0.00460,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
69,84,0.00320,0.00570,0.10540,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
71,75,0.00220,0.02120,0.03210,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
72,73,0.00110,0.00460,0.00100,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
72,92,0.00465,0.01776,0.00547,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
72,93,0.02530,0.10100,0.02190,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
76,80,0.00070,0.00400,0.00610,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
76,81,0.00040,0.00377,0.00557,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
76,81,0.00039,0.00370,0.00547,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
77,103,0.01060,0.04760,0.00985,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
82,86,0.00196,0.00418,0.04905,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
88,90,0.00402,0.00674,0.10825,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
90,92,0.00010,0.00042,0.00591,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
93,96,0.00354,0.02140,0.00392,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
94,96,0.00290,0.01159,0.00251,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
96,97,0.00583,0.03524,0.00646,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
103,119,0.04090,0.18290,0.03775,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
109,113,0.02480,0.11120,0.02270,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
109,119,0.01780,0.08000,0.01636,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
113,115,0.04290,0.19270,0.03945,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
119,123,0.03850,0.17270,0.03560,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
123,125,0.01800,0.07970,0.01590,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
125,130,0.01690,0.07500,0.01530,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
130,132,0.08390,0.21560,0.04270,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
132,137,0.04350,0.19520,0.04000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
133,143,0.35284,0.55640,0.00500,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
137,176,0.06485,0.29293,0.06014,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
141,142,0.00000,0.00010,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
155,157,0.01419,0.01638,0.10193,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
155,158,0.01663,0.07017,0.01485,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
155,161,0.02640,0.11823,0.02420,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
155,176,0.01322,0.04968,0.08516,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
159,185,0.30532,0.50960,0.00300,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
161,166,0.03990,0.17910,0.03670,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
166,170,0.00000,-0.40174,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
170,172,0.08830,0.40000,0.08380,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
177,188,0.00219,0.03499,0.08180,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
188,189,0.00000,0.00010,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
1,2,0.00481,0.14783,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
1,3,0.00481,0.14783,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
1,4,0.00292,0.11300,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
5,2,0.01616,0.10100,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
6,3,0.01616,0.10100,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
7,8,0.00373,0.12900,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
7,9,0.00373,0.12900,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
7,10,0.00373,0.12900,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
7,11,0.00200,0.10810,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
12,13,0.00444,0.15000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
12,14,0.00444,0.15000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
15,16,0.00640,0.12850,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
17,18,0.00637,0.12825,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
17,19,0.00637,0.12825,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
25,26,0.00258,0.12600,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
26,27,0.00823,0.10940,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
26,28,0.00810,0.10980,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
26,29,0.00519,0.09900,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
26,30,0.00583,0.11670,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
31,32,0.00350,0.11900,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
31,33,0.00350,0.11900,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
31,34,0.00049,0.11797,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
35,36,0.00425,0.06490,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
35,37,0.16000,1.60000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
39,40,0.00110,0.05250,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
41,42,0.00640,0.12850,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
41,43,0.00640,0.12850,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
44,45,0.05000,0.10000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
49,50,0.00522,0.07661,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
49,51,0.00522,0.07661,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
49,52,0.00522,0.07661,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
49,53,0.00522,0.07661,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
57,58,0.00110,0.04270,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
61,60,0.00200,0.05150,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
62,63,0.00256,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
64,65,0.00256,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
66,67,0.00256,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
66,68,0.00256,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
69,70,0.00270,0.06000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
71,72,0.00110,0.06000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
73,74,0.01000,0.10000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
76,77,0.00180,0.06080,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
77,78,0.00378,0.08060,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
78,79,0.01500,0.27000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
82,83,0.00150,0.00310,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
85,84,0.00300,0.06000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
87,86,0.00300,0.06000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
89,88,0.00360,0.07200,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
91,90,0.00360,0.07200,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
94,95,0.00615,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
94,102,0.00615,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
97,98,0.00282,0.09414,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
97,99,0.00282,0.09414,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
97,100,0.00420,0.14004,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
97,101,0.00420,0.14004,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
103,104,0.00347,0.11500,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
104,105,0.00600,0.06000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
104,107,0.00440,0.07200,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
105,106,0.00450,0.04500,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
105,108,0.00440,0.07200,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
109,110,0.00635,0.09870,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
110,111,0.00450,0.04500,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
110,112,0.00440,0.07200,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
113,114,0.00477,0.09170,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
115,116,0.00447,0.12180,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
116,118,0.00536,0.13302,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
117,118,0.00431,0.07931,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
119,120,0.00552,0.09870,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
120,121,0.00400,0.04000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
120,122,0.00440,0.07200,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
123,124,0.00535,0.12914,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
125,126,0.00297,0.10510,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
125,127,0.00297,0.10510,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
126,128,0.00060,0.06000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
127,129,0.00060,0.06000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
130,131,0.00499,0.14320,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
132,133,0.00492,0.11790,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
133,134,0.00800,0.08000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
134,135,0.00600,0.06000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
134,136,0.00011,0.00180,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
137,138,0.00420,0.14004,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
137,139,0.00420,0.14044,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
138,140,0.00440,0.04400,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
139,140,0.00440,0.04400,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
139,141,0.00629,0.06169,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
143,144,0.00694,0.13939,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
143,145,0.00420,0.08430,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
143,146,0.01002,0.10017,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
143,147,0.01200,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
144,148,0.00573,0.05730,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
146,152,0.00100,0.01000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
147,149,0.00573,0.05730,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
148,152,0.00573,0.05730,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
149,153,0.96000,9.55000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
150,153,2.66700,26.67000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
151,153,2.66700,26.67000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
152,153,0.00288,0.02865,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
152,154,2.66700,26.67000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
157,156,0.00563,0.12099,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
158,159,0.00347,0.11500,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
159,160,0.00011,0.00180,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
161,163,0.00600,0.10780,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
163,162,0.00600,0.06000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
162,164,0.00440,0.04400,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
163,165,0.00440,0.07200,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
166,167,0.00454,0.10770,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
167,168,0.00440,0.04400,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
167,169,0.00440,0.07200,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
167,171,0.00630,0.06930,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
172,173,0.00508,0.07896,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
173,174,0.00450,0.04500,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
173,175,0.00440,0.07200,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
177,176,0.00363,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
188,178,0.00500,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
188,179,0.00501,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
188,180,0.00501,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
188,181,0.00501,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
188,182,0.00501,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
188,183,0.00501,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
189,184,0.00500,0.12000,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
185,186,0.00300,0.05850,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
185,187,0.00300,0.05850,0.00000,9900.00,9900.00,9900.00,1.00,0.00,1,-360.00,360.00
