bus_number,bus_type,pd,qd,gs,bs,area,vm,va,base_kv,zone,vmax,vmin
31,1,0.00,0.00,0.00,0.00,1,1.02,-0.02,66.00,1,1.10,0.90
32,2,0.00,0.00,0.00,0.00,1,1.03,0.04,6.60,1,1.10,0.90
33,2,0.00,0.00,0.00,0.00,1,1.03,0.04,6.60,1,1.10,0.90
34,1,0.00,0.00,0.00,0.00,1,1.02,-0.02,6.60,1,1.10,0.90
35,1,0.00,0.00,0.00,0.00,1,1.01,-0.04,66.00,1,1.10,0.90
36,2,0.00,0.00,0.00,0.00,1,1.02,0.01,6.60,1,1.10,0.90
37,1,2.83,1.23,0.00,0.00,1,0.99,-0.08,11.00,1,1.10,0.90
38,1,5.85,3.53,0.00,0.00,1,1.01,-0.04,66.00,1,1.10,0.90
39,1,0.00,0.00,0.00,0.00,1,1.02,-0.13,220.00,1,1.10,0.90
40,1,0.00,0.00,0.00,0.00,1,1.02,-0.11,132.00,1,1.10,0.90
41,1,0.00,0.00,0.00,0.00,1,1.02,-0.13,220.00,1,1.10,0.90
42,2,0.00,0.00,0.00,0.00,1,1.05,-0.03,11.00,1,1.10,0.90
43,2,0.00,0.00,0.00,0.00,1,1.05,-0.03,11.00,1,1.10,0.90
44,1,8.26,5.12,0.00,0.00,1,0.97,-0.04,66.00,1,1.10,0.90
45,1,4.01,2.73,0.00,0.00,1,0.92,-0.07,33.00,1,1.10,0.90
46,1,0.00,0.00,0.00,0.00,1,1.03,-0.11,220.00,1,1.10,0.90
47,1,0.00,0.00,0.00,0.00,1,1.02,-0.11,132.00,1,1.10,0.90
48,1,0.00,0.00,0.00,0.00,1,1.02,-0.13,220.00,1,1.10,0.90
49,1,7.55,2.50,0.00,0.00,1,1.03,-0.12,132.00,1,1.10,0.90
50,2,0.00,0.00,0.00,0.00,1,1.05,-0.07,11.00,1,1.10,0.90
51,2,0.00,0.00,0.00,0.00,1,1.05,-0.07,11.00,1,1.10,0.90
52,2,0.00,0.00,0.00,0.00,1,1.05,-0.07,11.00,1,1.10,0.90
53,2,0.00,0.00,0.00,0.00,1,1.05,-0.07,11.00,1,1.10,0.90
54,1,6.23,2.05,0.00,0.00,1,1.01,-0.04,66.00,1,1.10,0.90
55,1,0.00,0.00,0.00,0.00,1,1.03,-0.12,132.00,1,1.10,0.90
56,1,0.00,0.00,0.00,0.00,1,1.03,-0.13,132.00,1,1.10,0.90
57,1,0.00,0.00,0.00,0.00,1,1.02,-0.14,220.00,1,1.10,0.90
58,1,0.00,0.00,0.00,0.30,1,1.02,-0.13,132.00,1,1.10,0.90
59,1,0.00,0.00,0.00,0.00,1,1.02,-0.13,132.00,1,1.10,0.90
60,1,200.86,68.47,0.00,0.00,1,0.98,-0.27,21.00,1,1.10,0.90
61,1,0.00,0.00,0.00,0.00,1,1.01,-0.15,220.00,1,1.10,0.90
62,1,0.00,0.00,0.00,0.00,1,1.01,-0.15,220.00,1,1.10,0.90
63,1,110.14,36.81,0.00,0.00,1,1.00,-0.23,33.00,1,1.10,0.90
64,1,0.00,0.00,0.00,0.00,1,1.02,-0.14,220.00,1,1.10,0.90
65,1,50.00,12.00,0.00,0.00,1,1.03,-0.14,33.00,1,1.10,0.90
66,1,0.00,0.00,0.00,0.00,1,1.02,-0.14,220.00,1,1.10,0.90
67,1,80.00,20.00,0.00,0.00,1,1.03,-0.14,33.00,1,1.10,0.90
68,1,56.00,14.00,0.00,0.00,1,1.03,-0.14,33.00,1,1.10,0.90
69,1,0.00,0.00,0.00,0.00,1,1.02,-0.13,132.00,1,1.10,0.90
70,1,34.04,20.90,0.00,0.00,1,1.00,-0.17,33.00,1,1.10,0.90
71,1,0.00,0.00,0.00,0.08,1,1.02,-0.14,220.00,1,1.10,0.90
72,1,0.00,0.00,0.00,0.43,1,1.03,-0.12,132.00,1,1.10,0.90
73,1,0.00,0.00,0.00,0.00,1,1.03,-0.12,132.00,1,1.10,0.90
74,1,17.33,9.28,0.00,0.00,1,1.00,-0.20,11.00,1,1.10,0.90
75,1,0.00,0.00,0.00,0.00,1,1.02,-0.13,220.00,1,1.10,0.90
76,1,0.00,0.00,0.00,0.75,1,1.01,-0.22,220.00,1,1.10,0.90
77,1,0.55,0.24,0.00,0.00,1,0.99,-0.21,132.00,1,1.10,0.90
78,1,7.76,3.38,0.00,0.00,1,1.01,-0.24,66.00,1,1.10,0.90
79,1,0.00,0.00,0.00,0.00,1,1.01,-0.24,11.00,1,1.10,0.90
80,1,125.01,31.30,0.00,0.00,1,1.00,-0.22,220.00,1,1.10,0.90
81,1,379.00,92.49,0.00,0.00,1,1.00,-0.23,220.00,1,1.10,0.90
82,1,0.00,0.00,0.00,0.00,1,1.02,-0.14,132.00,1,1.10,0.90
83,1,25.98,18.84,0.00,0.00,1,1.06,-0.15,11.00,1,1.10,0.90
84,1,0.00,0.00,0.00,0.00,1,1.02,-0.14,132.00,1,1.10,0.90
85,1,15.83,10.92,0.00,0.00,1,0.99,-0.17,11.00,1,1.10,0.90
86,1,0.00,0.00,0.00,0.00,1,1.02,-0.14,132.00,1,1.10,0.90
87,1,8.34,8.96,0.00,0.00,1,1.00,-0.14,11.00,1,1.10,0.90
88,1,0.00,0.00,0.00,0.00,1,1.03,-0.12,132.00,1,1.10,0.90
89,1,15.47,8.04,0.00,0.00,1,0.98,-0.16,11.00,1,1.10,0.90
90,1,0.00,0.00,0.00,0.00,1,1.03,-0.12,132.00,1,1.10,0.90
91,1,8.26,4.25,0.00,0.00,1,1.02,-0.14,11.00,1,1.10,0.90
92,1,0.00,0.00,0.00,0.00,1,1.03,-0.12,132.00,1,1.10,0.90
93,1,15.11,10.00,0.00,0.00,1,1.03,0.02,132.00,1,1.10,0.90
94,1,0.00,0.00,0.00,0.00,1,1.03,0.06,132.00,1,1.10,0.90
95,1,0.00,0.00,0.00,0.00,1,1.03,0.06,11.00,1,1.10,0.90
96,1,0.00,0.00,0.00,0.00,1,1.03,0.05,132.00,1,1.10,0.90
97,1,0.00,0.00,0.00,0.00,1,1.03,0.09,132.00,1,1.10,0.90
98,2,0.00,0.00,0.00,0.00,1,1.03,0.17,11.00,1,1.10,0.90
99,2,0.00,0.00,0.00,0.00,1,1.03,0.17,11.00,1,1.10,0.90
100,1,0.00,0.00,0.00,0.00,1,1.03,0.09,11.00,1,1.10,0.90
101,1,0.00,0.00,0.00,0.00,1,1.03,0.09,11.00,1,1.10,0.90
102,2,3.78,1.25,0.00,0.00,1,1.05,0.17,11.00,1,1.10,0.90
103,1,0.00,0.00,0.00,0.00,1,0.98,-0.20,132.00,1,1.10,0.90
104,2,22.13,4.05,0.00,0.00,1,1.00,-0.29,66.00,1,1.10,0.90
105,1,5.35,2.33,0.00,0.00,1,0.98,-0.32,19.00,1,1.10,0.90
106,1,0.00,0.00,0.00,0.00,1,0.98,-0.32,0.41,1,1.10,0.90
107,1,0.00,0.00,0.00,0.00,1,1.00,-0.29,11.00,1,1.10,0.90
108,1,0.00,0.00,0.00,0.00,1,0.98,-0.32,11.00,1,1.10,0.90
109,1,0.00,0.00,0.00,0.00,1,0.99,-0.15,132.00,1,1.10,0.90
110,1,1.80,0.20,0.00,0.00,1,0.99,-0.16,19.00,1,1.10,0.90
111,1,0.00,0.00,0.00,0.00,1,0.99,-0.16,0.41,1,1.10,0.90
112,1,0.00,0.00,0.00,0.00,1,0.99,-0.16,11.00,1,1.10,0.90
113,1,0.00,0.00,0.00,0.00,1,0.99,-0.17,132.00,1,1.10,0.90
114,1,3.00,-1.00,0.00,0.00,1,1.07,-0.20,33.00,1,1.10,0.90
115,1,0.00,0.00,0.00,0.00,1,0.98,-0.21,132.00,1,1.10,0.90
116,1,20.00,2.11,0.00,0.00,1,0.99,-0.28,66.00,1,1.10,0.90
117,2,4.00,1.05,0.00,0.00,1,1.03,-0.24,6.30,1,1.10,0.90
118,1,0.00,0.00,0.00,0.00,1,1.01,-0.26,33.00,1,1.10,0.90
119,1,0.00,0.00,0.00,0.00,1,0.99,-0.13,132.00,1,1.10,0.90
120,1,2.57,1.12,0.00,0.00,1,1.00,-0.15,19.00,1,1.10,0.90
121,1,0.00,0.00,0.00,0.00,1,1.00,-0.15,0.41,1,1.10,0.90
122,1,0.00,0.00,0.00,0.00,1,1.00,-0.15,11.00,1,1.10,0.90
123,1,0.00,0.00,0.00,0.00,1,1.01,-0.01,132.00,1,1.10,0.90
124,1,5.00,0.92,0.00,0.00,1,1.03,-0.07,33.00,1,1.10,0.90
125,1,0.00,0.00,0.00,0.00,1,1.02,0.04,132.00,1,1.10,0.90
126,2,0.00,0.00,0.00,0.00,1,1.02,0.10,11.00,1,1.10,0.90
127,2,0.00,0.00,0.00,0.00,1,1.02,0.10,11.00,1,1.10,0.90
128,1,0.00,0.00,0.00,0.00,1,1.02,0.10,11.00,1,1.10,0.90
129,1,0.00,0.00,0.00,0.00,1,1.02,0.10,11.00,1,1.10,0.90
130,1,0.00,0.00,0.00,0.00,1,1.02,0.04,132.00,1,1.10,0.90
131,1,9.00,1.47,0.00,0.00,1,1.04,-0.03,66.00,1,1.10,0.90
132,1,0.00,0.00,0.00,0.00,1,1.02,0.05,132.00,1,1.10,0.90
133,1,13.00,1.00,0.00,0.00,1,1.03,0.04,66.00,1,1.10,0.90
134,1,4.08,1.78,0.00,0.00,1,1.00,0.00,11.00,1,1.10,0.90
135,1,0.00,0.00,0.00,0.00,1,1.00,0.00,0.41,1,1.10,0.90
136,1,0.00,0.00,0.00,0.00,1,1.00,0.00,11.00,1,1.10,0.90
137,1,0.00,0.00,0.00,0.00,1,1.02,0.08,132.00,1,1.10,0.90
138,2,0.00,0.00,0.00,0.00,1,1.00,0.19,11.00,1,1.10,0.90
139,2,2.27,0.99,0.00,0.00,1,1.00,0.19,11.00,1,1.10,0.90
140,1,0.00,0.00,0.00,0.00,1,1.00,0.19,0.41,1,1.10,0.90
141,1,0.00,0.00,0.00,0.00,1,1.02,0.25,11.00,1,1.10,0.90
142,2,0.00,0.00,0.00,0.00,1,1.02,0.25,11.00,1,1.10,0.90
143,1,8.08,0.50,0.00,0.00,1,1.06,0.11,66.00,1,1.10,0.90
144,2,0.00,0.00,0.00,0.00,1,1.06,0.18,11.00,1,1.10,0.90
145,1,0.00,0.00,0.00,0.00,1,1.03,0.11,33.00,1,1.10,0.90
146,1,0.00,0.00,0.00,0.00,1,1.06,0.11,6.60,1,1.10,0.90
147,1,0.00,0.00,0.00,0.00,1,1.06,0.11,11.00,1,1.10,0.90
148,1,0.00,0.00,0.00,0.00,1,1.06,0.14,0.38,1,1.10,0.90
149,1,0.00,0.00,0.00,0.00,1,1.06,0.11,0.22,1,1.10,0.90
150,1,0.00,0.00,0.00,0.00,1,1.06,0.11,0.38,1,1.10,0.90
151,1,0.00,0.00,0.00,0.00,1,1.06,0.11,0.22,1,1.10,0.90
152,1,0.00,0.00,0.00,0.00,1,1.06,0.11,6.60,1,1.10,0.90
153,1,0.00,0.00,0.00,0.00,1,1.06,0.11,6.60,1,1.10,0.90
154,1,0.00,0.00,0.00,0.00,1,1.06,0.11,0.22,1,1.10,0.90
155,1,0.01,0.01,0.00,0.00,1,1.03,-0.09,132.00,1,1.10,0.90
156,1,17.38,4.40,0.00,0.00,1,1.03,-0.15,66.00,1,1.10,0.90
157,1,0.00,0.00,0.00,0.00,1,1.03,-0.09,132.00,1,1.10,0.90
158,1,0.00,0.00,0.00,0.00,1,1.02,-0.09,132.00,1,1.10,0.90
159,1,10.14,2.70,0.00,0.00,1,1.03,-0.14,66.00,1,1.10,0.90
160,1,0.00,0.00,0.00,0.00,1,1.03,-0.14,11.00,1,1.10,0.90
161,1,0.00,0.00,0.00,0.00,1,1.03,-0.09,132.00,1,1.10,0.90
162,1,2.87,0.40,0.00,0.00,1,1.00,-0.12,11.00,1,1.10,0.90
163,1,0.00,0.00,0.00,0.00,1,1.01,-0.11,33.00,1,1.10,0.90
164,1,0.00,0.00,0.00,0.00,1,1.00,-0.12,0.41,1,1.10,0.90
165,1,0.00,0.00,0.00,0.00,1,1.01,-0.11,11.00,1,1.10,0.90
166,1,0.00,0.00,0.00,0.00,1,1.02,-0.10,132.00,1,1.10,0.90
167,1,7.26,0.40,0.00,0.00,1,1.00,-0.13,11.00,1,1.10,0.90
168,1,0.00,0.00,0.00,0.00,1,1.00,-0.13,0.41,1,1.10,0.90
169,1,0.00,0.00,0.00,0.00,1,1.00,-0.13,11.00,1,1.10,0.90
170,1,0.00,0.00,0.00,0.00,1,1.04,-0.11,132.00,1,1.10,0.90
171,1,0.00,0.00,0.00,0.00,1,1.00,-0.13,19.00,1,1.10,0.90
172,1,0.00,0.00,0.00,0.00,1,1.01,-0.09,132.00,1,1.10,0.90
173,1,1.73,0.20,0.00,0.00,1,1.01,-0.10,19.00,1,1.10,0.90
174,1,0.00,0.00,0.00,0.00,1,1.01,-0.10,0.41,1,1.10,0.90
175,1,0.00,0.00,0.00,0.00,1,1.01,-0.10,11.00,1,1.10,0.90
176,1,0.00,0.00,0.00,0.00,1,1.03,-0.07,132.00,1,1.10,0.90
177,1,0.00,0.00,0.00,0.00,1,1.00,-0.07,220.00,1,1.10,0.90
178,1,5.20,3.00,0.00,0.00,1,0.98,-0.10,11.00,1,1.10,0.90
179,1,0.00,0.00,0.00,0.00,1,1.00,-0.08,69.00,1,1.10,0.90
180,1,0.00,0.00,0.00,0.00,1,1.00,-0.08,69.00,1,1.10,0.90
181,1,0.00,0.00,0.00,0.00,1,1.00,-0.08,69.00,1,1.10,0.90
182,1,0.00,0.00,0.00,0.00,1,1.00,-0.08,69.00,1,1.10,0.90
183,1,0.00,0.00,0.00,0.00,1,1.00,-0.08,69.00,1,1.10,0.90
184,1,5.21,3.00,0.00,0.00,1,0.98,-0.10,11.00,1,1.10,0.90
185,1,9.67,1.60,0.00,0.00,1,1.01,-0.16,66.00,1,1.10,0.90
186,2,0.00,0.00,0.00,0.00,1,1.01,-0.12,6.60,1,1.10,0.90
187,1,0.00,0.00,0.00,0.00,1,1.01,-0.16,11.00,1,1.10,0.90
188,1,0.00,0.00,0.00,0.00,1,1.00,-0.08,220.00,1,1.10,0.90
189,1,0.00,0.00,0.00,0.00,1,1.00,-0.08,220.00,1,1.10,0.90
